  Transition        f           A          Lam(A)      i-j    Trans. #

13___-16___     1.412E-01   3.024E+03   4.533E+05     13- 16    285
13___-17___     6.584E-02   1.865E+03   3.710E+05     13- 17    286
13___-18___     3.672E-02   1.231E+03   3.220E+05     13- 18    287
13___-19___     2.292E-02   8.527E+02   2.896E+05     13- 19    288
13___-20___     1.545E-02   6.116E+02   2.667E+05     13- 20    289
13___-21___     1.100E-02   4.507E+02   2.498E+05     13- 21    290
13___-22___     8.178E-03   3.398E+02   2.367E+05     13- 22    291
13___-23___     6.279E-03   2.610E+02   2.264E+05     13- 23    292
13___-24___     4.950E-03   2.037E+02   2.180E+05     13- 24    293
13___-25___     3.986E-03   1.612E+02   2.111E+05     13- 25    294
13___-26___     3.268E-03   1.291E+02   2.054E+05     13- 26    295
13___-27___     2.720E-03   1.045E+02   2.005E+05     13- 27    296
13___-28___     2.293E-03   8.546E+01   1.964E+05     13- 28    297
13___-29___     1.955E-03   7.048E+01   1.928E+05     13- 29    298
13___-30___     1.683E-03   5.858E+01   1.897E+05     13- 30    299
14___-15___     2.954E+00   8.929E+03   1.386E+06     14- 15    300
14___-16___     4.467E-01   3.924E+03   7.623E+05     14- 16    301
14___-17___     1.494E-01   2.192E+03   5.552E+05     14- 17    302
14___-18___     6.938E-02   1.368E+03   4.522E+05     14- 18    303
14___-19___     3.858E-02   9.140E+02   3.909E+05     14- 19    304
14___-20___     2.402E-02   6.394E+02   3.503E+05     14- 20    305
14___-21___     1.615E-02   4.627E+02   3.216E+05     14- 21    306
14___-22___     1.149E-02   3.440E+02   3.002E+05     14- 22    307
14___-23___     8.525E-03   2.614E+02   2.838E+05     14- 23    308
14___-24___     6.539E-03   2.023E+02   2.708E+05     14- 24    309
14___-25___     5.149E-03   1.589E+02   2.603E+05     14- 25    310
14___-26___     4.144E-03   1.265E+02   2.516E+05     14- 26    311
14___-27___     3.396E-03   1.019E+02   2.444E+05     14- 27    312
14___-28___     2.825E-03   8.298E+01   2.382E+05     14- 28    313
14___-29___     2.381E-03   6.818E+01   2.329E+05     14- 29    314
14___-30___     2.030E-03   5.649E+01   2.284E+05     14- 30    315
15___-16___     3.145E+00   6.424E+03   1.694E+06     15- 16    316
15___-17___     4.731E-01   2.863E+03   9.261E+05     15- 17    317
15___-18___     1.575E-01   1.618E+03   6.712E+05     15- 18    318
15___-19___     7.292E-02   1.022E+03   5.444E+05     15- 19    319
15___-20___     4.043E-02   6.899E+02   4.688E+05     15- 20    320
15___-21___     2.510E-02   4.869E+02   4.187E+05     15- 21    321
15___-22___     1.685E-02   3.555E+02   3.833E+05     15- 22    322
15___-23___     1.197E-02   2.664E+02   3.569E+05     15- 23    323
15___-24___     8.868E-03   2.039E+02   3.366E+05     15- 24    324
15___-25___     6.794E-03   1.588E+02   3.205E+05     15- 25    325
15___-26___     5.346E-03   1.255E+02   3.074E+05     15- 26    326
15___-27___     4.299E-03   1.005E+02   2.966E+05     15- 27    327
15___-28___     3.521E-03   8.141E+01   2.876E+05     15- 28    328
15___-29___     2.928E-03   6.660E+01   2.800E+05     15- 29    329
